Taco Bell,4.3
Pizza Hut,3.8
Beijing Bites,4.2
Kanti Sweets,4.3
Cafe Mondo,4.3
Hungree Belly,3
1522 - The Pub,4.4
California Burrito,4.3
Vasudev Adiga's,4
Chaai Resto,1.5
Kanti Sweets,4.5
Kanti Sweets,4.5
NEST,3.8
Beijing Bites,4.3
Super Chill - Gelato,4.5
Shanghai Court,4.4
Onesta,4.2
New Prashanth Hotel Nati Style,4.5
Spice It,3.8
Five Star Chicken,4.5
Food Affair,4.3
Pizza Stop,4.3
Shanghai Times,1
The Urban Gully,3.8
Bake Delite,3.3
The Vape,4.1
Empire Restaurant,3.6
Rad Bistro,3
Wow! Momo,3.6
Rolls On Wheels,3.8
Bengaluru Box,3.5
Twillight Tandoor Resto,4.8
Cream & Fudge,5
Kanti Sweets,4.4
Mast Marathi,2.7
The Wokchow,1
Frozen Bottle,4.9
Rolls On Wheels,3.3
Fish & Fries,4.2
Chaatimes,4.3
Fab Cafe,3.9
Spot 360,4.6
Vinaya Cafe,4.3
The Fisherman's Wharf,4.2
Byg Brewski Brewing Company,4.3
Ching's With A Twist,4
Sweet Chariot,4.3
Chaatimes,4
Cookie Man,4.3
Five Star Chicken,4.3
Juice Junction,1
Thanco's Natural Ice Cream,4.7
Shree Mahalakshmi Sweets,5
Little Italy,4.3
Kanti Sweets,4.3
Kanti Sweets,4.1
Tipsy Bull - The Bar Exchange,4.2
OB's Resto Cafe,4.3
Golden China,4.3
Lassi Shop,4.3
Kanti Sweets,4.5
Havelli,4
Equinox Bar,4
Royal Biriyani House,3.4
Sweet Chariot,4.3
Byg Brewski Brewing Company,4.3
Pizza Hut,4.5
The Rich Crust,4.2
Sichuan,4.5
Secret of Bangalore,4.1
Paakashala,4.1
Chaatimes,4.5
Park Street Restaurant,3.8
Kanti Sweets,4.3
Beijing Bites,4.1
Coal Spark,3.7
Le Republique,3.4
The Black Pearl,4
Kanti Sweets,4.7
Big Bite,3.8
Pizza Hut,4.3
Hot Coffee,4.3
Xochi Bar and Kitchen,4.4
Streetology,4.3
Kanti Sweets,4.5
Originale,4.3
ABs - Absolute Barbecues,4.3
Isiri Restobar,4.2
Eat Retreat,4.5
Chaat King,4
THE BEL ST.,4.1
Frozen Bottle,4.3
ABs - Absolute Barbecues,4.3
The Lassi Corner,3
Shree Mahalakshmi Sweets,4.7
And It Was Called Yellow,4.3
Kanti Sweets,4.5
Mani's Dum Biryani,4.1
Shree Mahalakshmi Sweets,4.3
Leon's Burgers and Wings,4.5
Tapout Tavern,3.9
Beijing Bites,4.4
TFL's Kitchen,4.4
Stories Bar and Kitchen,4.2
Pizza Hut,3.9
Cafe Kabana,3.6
The Druid Garden,4.2
Saha Chowmein,4
Pizza Hut,4
Grill House,3.3
Chef Baker's,1
Potful,4.3
Publik,3.7
Simply Indian,4.1
Grand Desi Paratha,4.1
Chef Baker's,4
Gilly's Resto-Bar,4.1
NH8,3.7
Dr Sheesha,4.1
Marhaba,4.3
Mad Over Donuts,4.5
Frozen Bottle,4.5
Float,4.2
Kanti Sweets,3.5
Sweet Chariot,4.3
Delhi 6,4.3
Chaatimes,4.3
The Square,3.7
Kapoor's Cafe,3.6
The Irish House,4.2
Urban Monkey Cafe,4
Potful,3.5
Bombay Brasserie,4.2
